Repository_Name,Username,Stars,Repository_URL,Topic Class
MagicPython,MagicStack,1300.0,https://github.com/MagicStack/MagicPython,atom
feedparser,kurtmckee,1200.0,https://github.com/kurtmckee/feedparser,atom
apm,atom,1200.0,https://github.com/atom/apm,atom
atom,file-icons,1100.0,https://github.com/file-icons/atom,atom
atomic-layout,kettanaito,950000.0,https://github.com/kettanaito/atomic-layout,atom
atomic-chrome,danhper,929000.0,https://github.com/danhper/atomic-chrome,atom
FeedKit,nmdias,914000.0,https://github.com/nmdias/FeedKit,atom
github,atom,909000.0,https://github.com/atom/github,atom
atom-one-dark-terminal,nathanbuchar,906000.0,https://github.com/nathanbuchar/atom-one-dark-terminal,atom
seti-ui,jesseweed,864000.0,https://github.com/jesseweed/seti-ui,atom
prettier-atom,prettier,759000.0,https://github.com/prettier/prettier-atom,atom
lucario,raphamorim,718000.0,https://github.com/raphamorim/lucario,atom
atom-script,atom-community,717000.0,https://github.com/atom-community/atom-script,atom
kotlin-language-server,fwcd,712000.0,https://github.com/fwcd/kotlin-language-server,atom
cypht,jasonmunro,648000.0,https://github.com/jasonmunro/cypht,atom
jekyll-feed,jekyll,644000.0,https://github.com/jekyll/jekyll-feed,atom
awesome,sindresorhus,163000.0,https://github.com/sindresorhus/awesome,awesome
awesome-python,vinta,99300.0,https://github.com/vinta/awesome-python,awesome
awesome-go,avelino,64900.00000000001,https://github.com/avelino/awesome-go,awesome
awesome-selfhosted,awesome-selfhosted,59500.0,https://github.com/awesome-selfhosted/awesome-selfhosted,awesome
papers-we-love,papers-we-love,46200.0,https://github.com/papers-we-love/papers-we-love,awesome
Awesome-Hacking,Hack-with-Github,44500.0,https://github.com/Hack-with-Github/Awesome-Hacking,awesome
HelloGitHub,521xueweihan,43100.0,https://github.com/521xueweihan/HelloGitHub,awesome
awesome-mac,jaywcjlove,42200.0,https://github.com/jaywcjlove/awesome-mac,awesome
awesome-nodejs,sindresorhus,41300.0,https://github.com/sindresorhus/awesome-nodejs,awesome
awesome-interview-questions,DopplerHQ,41100.0,https://github.com/DopplerHQ/awesome-interview-questions,awesome
the-book-of-secret-knowledge,trimstray,40800.0,https://github.com/trimstray/the-book-of-secret-knowledge,awesome
awesome-android-ui,wasabeef,40700.0,https://github.com/wasabeef/awesome-android-ui,awesome
awesome-ios,vsouza,37700.0,https://github.com/vsouza/awesome-ios,awesome
awesome-courses,prakhar1989,37200.0,https://github.com/prakhar1989/awesome-courses,awesome
